inc_before_tax,ks_net_tax_liab_dol_chg_single,ks_net_tax_liab_dol_chg_mar0kids,ks_net_tax_liab_dol_chg_hoh2kids,ks_net_tax_liab_dol_chg_mar2kids
157587.5,-756.69336,-432.06836,-570.31836,-402.81836
157605.0,-756.8076,-432.18213,-570.4321,-402.93213
157622.5,-756.9214,-432.2964,-570.5464,-403.0464
157640.0,-757.03564,-432.41016,-570.66016,-403.16016
157657.5,-757.1489,-432.52393,-570.7739,-403.27393
157675.0,-757.2622,-432.6377,-570.8877,-403.3877
157692.5,-757.37646,-432.75146,-571.00146,-403.50146
157710.0,-757.48975,-432.86523,-571.11523,-403.61523
157727.5,-757.604,-432.97852,-571.2285,-403.72852
157745.0,-757.7173,-433.0923,-571.3423,-403.8423
157762.5,-757.83154,-433.20605,-571.45605,-403.95605
157780.0,-757.9448,-433.31982,-571.5698,-404.06982
157797.5,-758.0581,-433.4336,-571.6836,-404.1836
157815.0,-758.17236,-433.54736,-571.79736,-404.29736
157832.5,-758.28613,-433.66162,-571.9116,-404.41162
157850.0,-758.4004,-433.7754,-572.0254,-404.5254
157867.5,-758.5137,-433.88867,-572.1387,-404.63867
157885.0,-758.6279,-434.00244,-572.25244,-404.75244
157902.5,-758.7412,-434.1162,-572.3662,-404.8662
157920.0,-758.85547,-434.22998,-572.48,-404.97998
157937.5,-758.96875,-434.34375,-572.59375,-405.09375
157955.0,-759.08203,-434.45752,-572.7075,-405.20752
157972.5,-759.1963,-434.5713,-572.8213,-405.3213
157990.0,-759.3096,-434.68506,-572.93506,-405.43506
158007.5,-759.4238,-434.79883,-573.0488,-405.54883
158025.0,-759.5371,-434.9121,-573.1621,-405.6621
158042.5,-759.65137,-435.02588,-573.2759,-405.77588
158060.0,-759.76514,-435.14014,-573.39014,-405.89014
158077.5,-759.8794,-435.2539,-573.5039,-406.0039
158095.0,-759.9927,-435.36768,-573.6177,-406.11768
158112.5,-760.10596,-435.48145,-573.73145,-406.23145
158130.0,-760.2202,-435.5952,-573.8452,-406.3452
158147.5,-760.3335,-435.70898,-573.959,-406.45898
